Sales Period,Total Views,Policy,Gross Revenue (USD),Exchange Rate,Tunecore Commision,Net Revenue,Net Revenue Currency,YouTube Video Link,Song Name,Album Name,Label Name,Artist Name
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Imz1dph1GnA,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=J8A1rW1X-Fw,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,5,monetize,0.000302,1.2412,0.2,0.0003,CAD,http://www.youtube.com/watch?v=JMeCGui3SKo,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.000266,1.2412,0.2,0.000264,CAD,http://www.youtube.com/watch?v=J_h7fOkSMAw,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,85,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=J_h7fOkSMAw,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,21,monetize,0.000034,1.2412,0.2,0.000034,CAD,http://www.youtube.com/watch?v=Jev8dSSAmbI,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=JgTLNQW9tG8,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=JgTLNQW9tG8,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=JkMa_7mzorE,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=JxL3ZupDqf4,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=K3cPW41ypi4,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,104,monetize,0.001284,1.2412,0.2,0.001275,CAD,http://www.youtube.com/watch?v=KjOUsml55fM,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=KjOUsml55fM,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=L-2MsflXiP4,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=L9BdvcTwmzQ,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,135,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=LA9yFdhMxmQ,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=LA9yFdhMxmQ,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,398,monetize,0.249364,1.2412,0.2,0.247608,CAD,http://www.youtube.com/watch?v=LQUDaljbWEY,Paper Touching,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,108,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=LQUDaljbWEY,Paper Touching,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,6,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Lj24JGZiQcg,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,8,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=LtCuAKPdPQA,Paper Touching,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,0,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=LtCuAKPdPQA,Paper Touching,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,12,monetize,0.000116,1.2412,0.2,0.000115,CAD,http://www.youtube.com/watch?v=ME2NtwAiLX4,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,23,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=MHDZrbXTRks,Without Struggle,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,24,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=MoxAfyLcK4g,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,4,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Mt3Xv7ZMJ7w,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,13,monetize,0.00028,1.2412,0.2,0.000278,CAD,http://www.youtube.com/watch?v=N_zZyjfzgd0,Real Rappers (feat. Juice),Demolition Volume 1,iRapproduction,Luigi
